Q6744197	'Mallikarjun Kharge'
Q3419997	'Libaas'
Q2078673	'Ngawang Tenzin'
Q16107063	'K. Nath'
Q28151719	'V. K. Dadhwal'
Q320881	'Abidi'
Q3242115	'revolutionary'
Q63998460	'Sanjay Nivrutti Hivrale'
Q29980906	'B. Duraisamy'
Q107562475	'Aids O Tara Pratikar'
Q3543017	'Rakhi Sawant'
Q6826853	'Mhakave'
Q107079493	'Nakshatra Nirnnaya'
Q6892084	'Mohammad Ismail'
Q62614788	'Nandlal Nayak'
Q6043141	'Nina Wadia'
Q31801345	'Sumani Jhodia'
Q56916382	'Social issues'
Q320613	'Abhinn Shyam Gupta'
Q65562362	'Chayaraj'
Q5628611	'H. V. Hande'
Q105989416	'2016 Kerala Legislative Assembly election in Mattanur State Assembly constituency'
Q31332179	nan
Q7376588	'Ruchi Sharma'
Q7288511	'Ram Kumar'
Q12431089	'Girirajsharan Agrawal'
Q102200544	'Prahladh Harsha'
Q63988991	'2014 Indian general election in Kodarma Lok Sabha constituency'
Q4802118	'Arun Mukherjee'
Q19100	'captain'
Q5071322	'Chandrabose'
Q7398429	'Safdar Nagori'
Q7379606	'Runa Basu'
Q105679245	'Padma Charan Maharana'
Q70170837	'Arun Narang'
Q52159833	'Karl Jamshed Khandalavala'
Q737968	'Raj Chandra Bose'
Q23429967	'Sardar'
Q7895252	'University of Central Missouri'
Q100791882	'Gadam Gopala Swami'
Q24572590	'Abani Mohan Joardar'
Q7818906	'Tomin j thachankary'
Q63999496	'Dhian Singh Mand'
Q6323811	'Kantilal Ranchhodji Desai'
Q107086813	'Kunja Bihari Mohanty'
Q19767773	'Archibald'
Q16628894	'Suri Vaibhav'
Q5250240	'Deep Narayan Singh'
Q55623242	'Minister of Personnel, Public Grievances and Pensions'
Q27914	'tenor'
Q7237295	'Pracheta Gupta'
Q16149837	'Anandavally'
Q7820073	'Tomo Riba'
Q16137205	'K. Anirudhan'
Q23418928	'Vinay Tiwari'
Q106329643	'Makar Tudu'
Q1089889	'Churchill Brothers S.C.'
Q1165	'Bihar'
Q76712641	'wrestling at the 2020 Summer Olympics – men\'s freestyle 65 kg'
Q63995808	'Satyendra Bhandari'
Q5278063	'Dinesh Baboo'
Q750705	'Astrid Meyerfeldt-Nautiyal'
Q85996143	nan
Q7238171	'Prakash Chandra Sethi'
Q66363305	'Category:Dev (actor)'
Q63995186	'Payam Chandhar Rao'
Q56253304	'Pratap Singh'
Q6106421	'J. M. Lobo Prabhu'
Q6165311	'Javed Khan Amrohi'
Q103186387	'Riddhi Shah'
Q156495	'mathematical physics'
Q12988600	'Lopamudra Bhattacharji'
Q13158686	'Kamala Hampana'
Q2752875	'Aarya Babbar'
Q7881161	'Umarji Anuradha'
Q4615006	'Uttam Yudh Seva Medal'
Q1023712	'San Fernando'
Q63252796	nan
Q64002437	'Vinod Kumar Tiwari'
Q22278336	'Harshvardhan Jadhav'
Q106730912	'2021 Kerala Legislative Assembly election in Chittur State Assembly constituency'
Q107086837	'Madhab Chaudhary'
Q16225119	'Zafir Patel'
Q19898487	'Star Guild Award for Best Actress in a Drama Series'
Q42310166	'honorary doctor of Tel Aviv University'
Q12187729	nan
Q63996961	'Devender Dev'
Q4648236	'A. P. Shanmugasundara Goundar'
Q52156232	'Leonard Jennings'
Q1209909	'2018 Asian Games'
Q7498601	'Shirin M. Rai'
Q63536201	'1992/1993 Indian Badminton Championships – mixed doubles'
Q102235187	'Ralph Alphonse DeMasi'
Q23772605	'Milind Gadhavi'
Q26923345	'Lopamudra Raut'
Q63076925	'artistic roller skater'
Q97925272	'Nibaran Jena'
Q19921573	'Dhvanit Thaker'
Q31321778	nan
Q1755412	'playback singer'
Q18515864	'Laxmikant Parsekar'
Q3647356	'S. H. Kapadia'
Q2483789	'Narasaraopet'
Q12977412	'K.C. Veeramani'
Q25689555	nan
Q4901919	'Bhokar'
Q27051006	'Aarti Rana'
Q6951737	'N. P. Mohammed'
Q13120606	nan
Q63995950	'Pradeep Paswan'
Q127533	'Bhadohi district'
Q104700972	'Rama Chandra Mishra'
Q48800030	'Richard Mosher'
Q389808	'Aga Khan Award for Architecture'
Q239663	'F.K. Sarajevo'
Q19723480	'Reporters'
Q1154	'Jamnagar'
Q63999907	'Dinesh'
Q5996238	'Ikram Khan'
Q7487213	'Shalimar Garden, Ghaziabad'
Q17279260	'Chandubhai Deshmukh'
Q91525409	'Sarat Chandra Mishra'
Q1873109	'Lucas Sirkar'
Q16895297	'Khliehriat'
Q63995753	'Syed Shamim Akhtar'
Q7668536	'T. N. Prathapan'
Q4206962	'Tushar Ranganath'
Q25623550	'Bhagat Trilochan'
Q15730338	'Malti Devi'
Q98086583	'Jyoti - Jyoti Jyoti'
Q19180675	'Small Brockhaus and Efron Encyclopedic Dictionary'
Q4887375	'Benedikt Isserlin'
Q66310039	'Sudha Gajanan Gangal'
Q1394792	'C. N. Balakrishnan'
Q65227360	'Dhirendra Nath Sahae'
Q85992495	nan
Q47541661	'Jagdeep Singh'
Q63999198	'Mahameghabahan Aira Kharabela Swain'
Q7239189	'pre-university course'
Q16216064	'Nithin Sathya'
Q64003057	'Gopal Das'
Q6960666	'Nakkeerar'
Q16134939	'M. M. Mani'
Q13114999	'Sajitha R. Shankar'
Q6785107	'Master Venu'
Q84	'London'
Q107086799	'Balabhadra Bahidar'
Q131272	'soul music'
Q4907699	'Bilga'
Q5678993	'Hashim Ali Khan'
Q18002399	'Martin'
Q6167568	'Jayant Pandurang Naik'
Q1287117	'Jaora'
Q23409807	'Ravi Singh'
Q71528227	'reproduction right represented by CISAC-member'
Q63996771	'Ranvir Khobra'
Q33965	'Santali'
Q18638586	'Alka Kaushal'
Q33104653	'Anu Raghavan'
Q7140213	'Partha Pratim Moitra'
Q3537705	'Indian state governor'
Q17495903	'Anil C Singh'
Q31381027	'Ashwini Roy Sarkar'
Q98245691	'Soma Mondal'
Q3914748	'Raghunath Vinayak Dhulekar'
Q23760941	'Vinayak Vikram'
Q102207690	'Zhen-Wei Zhou'
Q7668533	'T. N. Gopakumar'
Q16147735	'Syed Faqruddin Ali Ahmed'
Q7261859	'Pushpendra Singh'
Q17418822	'Prakash Nanjappa'
Q6437439	'Krishna Kumar'
Q19664265	'P K Sadanandan'
Q104696065	'K. K. Kumara Pillai'
Q106730955	'2021 Kerala Legislative Assembly election in Kanjirappally State Assembly constituency'
Q21572941	'Mandar Madhukar Deshmukh'
Q1480778	'Cumilla District'
